,date,win_rate
0,2024-02-22,58.19327731092437
0,2024-02-23,78.24074074074075
0,2024-02-26,93.91891891891892
0,2024-02-27,91.34860050890585
0,2024-02-28,94.00479616306954
0,2024-02-22,52.3109243697479
0,2024-02-23,73.14814814814815
0,2024-02-26,87.83783783783784
0,2024-02-27,88.29516539440203
0,2024-02-28,91.60671462829735
0,2024-02-22,24.579831932773107
0,2024-02-23,40.27777777777778
0,2024-02-26,50.45045045045045
0,2024-02-27,27.735368956743
0,2024-02-28,56.11510791366906
0,2024-02-22,36.344537815126046
0,2024-02-23,68.98148148148148
0,2024-02-26,93.69369369369367
0,2024-02-27,90.5852417302799
0,2024-02-28,94.24460431654676
0,2024-02-22,36.344537815126046
